cohort_month,cohort_size,month_0,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
2010-01,337,1.0,0.764,0.705,0.621,0.565,0.492,0.462,0.398,0.338,0.304,0.276,0.251,0.215
2010-02,343,1.0,0.691,0.622,0.542,0.508,0.436,0.392,0.36,0.315,0.287,0.268,0.233,
2010-03,353,1.0,0.689,0.615,0.542,0.5,0.465,0.434,0.412,0.383,0.349,0.308,,
2010-04,374,1.0,0.721,0.616,0.569,0.509,0.434,0.372,0.331,0.301,0.27,,,
2010-05,338,1.0,0.736,0.642,0.553,0.503,0.452,0.385,0.342,0.294,,,,
2010-06,420,1.0,0.719,0.64,0.583,0.543,0.478,0.452,0.408,,,,,
2010-07,395,1.0,0.737,0.664,0.593,0.507,0.432,0.383,,,,,,
2010-08,380,1.0,0.693,0.616,0.532,0.491,0.459,,,,,,,
2010-09,349,1.0,0.741,0.693,0.618,0.544,,,,,,,,
2010-10,371,1.0,0.772,0.696,0.626,,,,,,,,,
2010-11,360,1.0,0.692,0.601,,,,,,,,,,
2010-12,382,1.0,0.722,,,,,,,,,,,
