customer_id,recency_days,frequency,monetary,avg_order_value,customer_tenure_days,segment
12000,31,1,124.63,124.63,0,Active Low-Frequency / Promising
12001,196,1,146.82,146.82,0,Lost / At-Risk One-Timers
12002,86,4,573.17,143.29,169,Hibernating Need-Attention
12003,60,2,183.92,91.96,244,Active Low-Frequency / Promising
12004,12,3,252.15,84.05,58,Active Low-Frequency / Promising
12005,12,2,336.5,168.25,179,Active Low-Frequency / Promising
12006,4,2,297.21,148.6,187,Active Low-Frequency / Promising
12007,131,3,376.93,125.64,374,Hibernating Need-Attention
12008,60,1,103.24,103.24,0,Active Low-Frequency / Promising
12009,81,1,96.29,96.29,0,Hibernating Need-Attention
12010,2,1,83.5,83.5,0,Active Low-Frequency / Promising
12011,228,12,579.66,48.3,292,Hibernating Need-Attention
12012,117,5,716.86,143.37,411,Hibernating Need-Attention
12013,16,1,77.08,77.08,0,Active Low-Frequency / Promising
12014,14,2,245.68,122.84,174,Active Low-Frequency / Promising
12015,14,5,446.43,89.29,254,Loyal High-Value Champions
12016,24,1,144.18,144.18,0,Active Low-Frequency / Promising
12017,49,2,303.88,151.94,248,Active Low-Frequency / Promising
12018,37,5,215.54,43.11,287,Loyal High-Value Champions
12019,23,1,189.59,189.59,0,Active Low-Frequency / Promising
12020,62,2,308.77,154.38,151,Hibernating Need-Attention
12021,10,1,129.97,129.97,0,Active Low-Frequency / Promising
12022,23,5,773.08,154.62,281,Loyal High-Value Champions
12023,30,8,386.19,48.27,197,Loyal High-Value Champions
12024,40,5,433.25,86.65,68,Loyal High-Value Champions
12025,100,1,92.03,92.03,0,Hibernating Need-Attention
12026,15,4,626.08,156.52,39,Loyal High-Value Champions
12027,47,3,495.15,165.05,192,Active Low-Frequency / Promising
12028,59,1,123.88,123.88,0,Active Low-Frequency / Promising
12029,4,3,385.9,128.63,188,Active Low-Frequency / Promising
12030,61,1,72.88,72.88,0,Hibernating Need-Attention
12031,13,2,231.47,115.74,109,Active Low-Frequency / Promising
12032,5,1,160.54,160.54,0,Active Low-Frequency / Promising
12033,194,1,152.26,152.26,0,Lost / At-Risk One-Timers
12034,220,1,123.21,123.21,0,Lost / At-Risk One-Timers
12035,108,2,173.06,86.53,262,Hibernating Need-Attention
12036,24,1,80.83,80.83,0,Active Low-Frequency / Promising
12037,7,2,309.81,154.9,173,Active Low-Frequency / Promising
12038,75,1,68.28,68.28,0,Hibernating Need-Attention
12039,38,1,104.17,104.17,0,Active Low-Frequency / Promising
12040,9,1,143.45,143.45,0,Active Low-Frequency / Promising
12041,45,3,481.67,160.56,159,Active Low-Frequency / Promising
12042,3,1,103.59,103.59,0,Active Low-Frequency / Promising
12043,157,2,131.09,65.54,363,Hibernating Need-Attention
12044,20,4,605.41,151.35,177,Loyal High-Value Champions
12045,71,2,299.98,149.99,220,Hibernating Need-Attention
12046,25,1,74.92,74.92,0,Active Low-Frequency / Promising
12047,48,1,139.13,139.13,0,Active Low-Frequency / Promising
12048,52,4,424.5,106.12,215,Hibernating Need-Attention
12049,14,1,64.33,64.33,0,Active Low-Frequency / Promising
12050,228,4,373.14,93.28,492,Hibernating Need-Attention
12051,97,1,126.31,126.31,0,Hibernating Need-Attention
12052,183,5,306.81,61.36,290,Hibernating Need-Attention
12053,147,3,449.03,149.68,295,Hibernating Need-Attention
12054,60,20,2723.41,136.17,83,Hibernating Need-Attention
12055,166,1,286.54,286.54,0,Hibernating Need-Attention
12056,7,3,318.83,106.28,235,Active Low-Frequency / Promising
12057,15,1,89.3,89.3,0,Active Low-Frequency / Promising
12058,4,1,115.54,115.54,0,Active Low-Frequency / Promising
12059,26,2,351.23,175.62,226,Active Low-Frequency / Promising
12060,32,4,205.04,51.26,157,Loyal High-Value Champions
12061,21,12,1161.33,96.78,239,Loyal High-Value Champions
12062,115,3,431.81,143.94,240,Hibernating Need-Attention
12063,29,1,139.38,139.38,0,Active Low-Frequency / Promising
12064,22,1,97.99,97.99,0,Active Low-Frequency / Promising
12065,51,2,268.54,134.27,178,Active Low-Frequency / Promising
12066,10,1,62.91,62.91,0,Active Low-Frequency / Promising
12067,106,1,236.09,236.09,0,Hibernating Need-Attention
12068,6,1,72.56,72.56,0,Active Low-Frequency / Promising
12069,282,1,132.68,132.68,0,Lost / At-Risk One-Timers
12070,97,1,184.56,184.56,0,Hibernating Need-Attention
12071,15,1,144.21,144.21,0,Active Low-Frequency / Promising
12072,1,1,81.3,81.3,0,Active Low-Frequency / Promising
12073,110,1,152.37,152.37,0,Hibernating Need-Attention
12074,80,12,1686.57,140.55,129,Hibernating Need-Attention
12075,85,1,236.3,236.3,0,Hibernating Need-Attention
12076,96,1,212.89,212.89,0,Hibernating Need-Attention
12077,6,2,184.87,92.44,121,Active Low-Frequency / Promising
12078,29,1,156.76,156.76,0,Active Low-Frequency / Promising
12079,9,5,769.39,153.88,253,Loyal High-Value Champions
12080,130,3,195.66,65.22,191,Hibernating Need-Attention
